title;price;sales;release_date;retail_price
Nike Court Vision Low Next Nature White Black;82;1;17/05/2022;80
"CLOT x Jordan Air Jordan 5 Retro Low SP ""Jade""";127;15;14/05/2022;200
Jordan 3 Retro Neapolitan Dark Mocha (Women's);296;3;14/05/2022;200
Nike Dunk Low Championship Court Purple;92;160;05/05/2022;100
Jordan Legacy 312 Low White Turquois;150;1;05/05/2022;130
Air Jordan 1 Low 'Ashen Slate';105;1218;03/05/2022;110
Jordan Legacy 312 Low Light Smoke Grey;137;10;01/05/2022;130
Nike Dunk Low Light Smoke Grey;98;8;01/05/2022;100
Nike Dunk Low USA (Women's);93;6;01/05/2022;100
Nike Dunk Low White Paisley (Women's);88;1;01/05/2022;100
Jordan 11 Retro Low Pure Violet (Women's);156;2;28/04/2022;190
Jordan Legacy 312 Low Chicago Red;105;24;31/03/2022;130
Nike Kyrie Infinity Smoke And Mirrors (GS);106;2;30/03/2022;101
"Jordan 1 Mid ""Dark Teal""";130;4;29/03/2022;115
New Balance NB 574 Running shoes Unisex;92;0;28/03/2022;90
adidas originals Yeezy Boost 350 V2 Bone;216;34;21/03/2022;230
Jordan 4 Retro Zen Master;186;10;19/03/2022;210
Jordan 1 Mid Crater Grey University Blue;141;12;15/03/2022;130
Nike Vaporwaffle sacai Sail Gum Life casual shoes  Unisex;378;1;10/03/2022;180
Sacai x Nike VaporWaffle Black Gum;363;2;10/03/2022;180
Nike Dunk Low Rose Whisper (Women's);93;160;01/03/2022;115
Nike Dunk High Panda Black White (2021);105;6;27/01/2022;130
Onitsuka Tiger Mexico 66 Kill Bill (2017);160;3;24/01/2022;120
New Balance 2002R Grey;123;6;01/01/2022;150
Nike Dunk Low Essential Paisley Pack Worn Blue (Women's);112;7;01/01/2022;120
"adidas originals Yeezy Boost 350 V2 ""Beluga Reflective""";239;8;18/12/2021;240
Nike Air Max Dawn Running shoes grey/white Male;85;2;17/12/2021;100
Nike Air Max Dawn Running shoes grey/white Male;85;2;17/12/2021;100
Jordan 1 Low Bred Toe (GS);120;2;08/12/2021;75
"Air Jordan 1 low ""bred toe""";118;68;08/12/2021;100
Jordan 1 Retro High OG Bordeaux;159;3;20/11/2021;170
"Jordan 1 Low ""Shadow""";147;135;12/11/2021;90
UGG Classic Ultra Mini Boot Chestnut (Women's);86;172;01/11/2021;150
Jordan 1 High Switch Peach;163;5;05/10/2021;140
Nike Dunk Low Championship Red;94;5;28/09/2021;100
"Nike Dunk Low ""Grey Fog""";119;319;21/09/2021;100
Jordan 4 Retro Lightning (2021);320;6;28/08/2021;220
Jordan 1 High Zoom Air CMFT Easter (Women's);146;8;19/08/2021;140
Jordan 1 Retro High OG Seafoam (Women's);210;6;12/08/2021;170
adidas originals Ozelia Triple Grey;75;1;10/08/2021;100
Nike Dunk High AMBUSH Flash Lime;230;2;30/07/2021;180
Jordan 1 Low Wolf Grey (Women's);110;219;20/07/2021;100
Nike Court Borough Low 2 Black University Red (GS);84;1;16/07/2021;66
Jordan 1 Mid Wolf Grey Aluminum (Women's);106;30;15/07/2021;115
Jordan 1 Low Crimson Tint;170;1;21/06/2021;90
"Nike Dunk Low SE ""Dusty Olive""";150;80;17/06/2021;110
"Jordan 1 Retro High OG ""Shadow 2.0""";217;8;15/05/2021;170
"Jordan 1 Retro High OG ""Shadow 2.0""";217;8;15/05/2021;170
adidas originals Forum Low White Black;61;0;05/05/2021;110
Nike Air Zoom Pegasus 38 White Black Pure Platinum;100;0;29/04/2021;120
Jordan 4 Retro University Blue;425;25;28/04/2021;200
Jordan 4 Retro University Blue;425;25;28/04/2021;200
Nike Air Zoom Pegasus 38 Black White Chlorine Blue;66;3;27/04/2021;120
Nike Air Zoom Pegasus 38 Black White (Women's);81;1;26/04/2021;130
Nike Dunk Low Michigan Varsity Maize (2021) (GS);112;1;16/04/2021;85
"Nike Air Force 1 Low ""Triple White"" GS";99;5;14/04/2021;90
"Nike Dunk Low Retro Prm ""Medium Curry""";114;95;29/03/2021;110
"CLOT x Nike Air Max 1 ""Kiss Of Death""";91;27;27/03/2021;150
Nike Dunk Low Retro White Black Panda;90;278;10/03/2021;115
Nike Dunk Low Retro White Black Panda (W);95;142;10/03/2021;115
Nike Dunk Low Retro White Black Panda (GS);75;47;10/03/2021;90
Nike Dunk Low Retro White Black Panda (PS);76;13;10/03/2021;70
Nike Dunk Low Panda (TD);73;7;10/03/2021;55
Nike TC 7900 Life casual shoes Female;87;27;03/03/2021;120
adidas originals Forum Low White Royal Blue;84;0;01/03/2021;100
Nike Flight Legacy Red White;71;19;25/02/2021;90
"Jordan 1 High OG Retro ""Silver Toe""";117;64;19/02/2021;170
New Balance NB 530 White Silver Navy;105;270;17/02/2021;95
"Jordan 1 Mid SE ASW ""Black And White""";134;28;01/02/2021;125
New Balance 327 Moonbeam Outerspace (Women's);96;78;01/02/2021;90
Nike Air Force 1 Low '07 White (Women's);105;19;16/01/2021;115
Nike Air Force 1 Low '07 White Black Pebbled Leather;113;9;14/01/2021;115
Jordan 1 Retro High White Black Volt University Gold;92;7;09/01/2021;170
"Air Jordan 11 Retro ""Jubilee"" 25th Anniversary";250;55;12/12/2020;220
Jordan 4 Retro Fire Red (2020);335;68;28/11/2020;200
Jordan 1 Mid Banned red and black;121;8;12/11/2020;115
"Jordan 1 Retro High ""Dark Mocha""";340;5;31/10/2020;170
Nike Air Max Correlate White Black Red;92;11;10/10/2020;65
Air Jordan 1 Mid Oakland;119;268;08/10/2020;125
Air Jordan 1 Low 'Light Smoke Grey';154;1035;29/09/2020;90
New Balance 327 Moonbeam Classic Burgundy Running Shoes (Women's);99;167;24/09/2020;100
adidas Ozweego Bliss Knit;92;0;20/09/2020;120
Jordan 1 Mid SE Red Black Toe;104;17;28/08/2020;120
Converse Run Star Legacy CX Hi Black;94;2;26/08/2020;120
Jordan 4 Retro 'Off-White Sail' (Women's);755;52;25/07/2020;200
"Jordan 1 Mid ""Chicago""";190;6;16/07/2020;115
Nike Flight Legacy White Game Royal;80;99;27/06/2020;90
Jordan 1 Mid 'Light Smoke Grey';116;80;09/06/2020;125
New Balance 327 Grey;89;16;08/05/2020;100
Nike Air Flight 89 Planet of Hoops Male;111;2;14/04/2020;120
"Supreme x Nike Air Force 1 Low ""box logo""";142;69;05/03/2020;118
Nike Sb Alleyoop White;72;5;13/01/2020;75
Jordan Jumpman Diamond Low PF White Mismatch;77;204;10/01/2020;120
Nike Air Max 90 Iron Grey;134;5;09/01/2020;130
